,fluxes
R_FACOAL161p,0.0
R_FACOAL180,0.0
R_FACOAL181,0.0
R_FACOAL182,0.0
R_FACOAL240p,0.0
R_FACOAL260p,0.0
R_FACOAL80p,0.0
R_FADFMNtm,0.0
R_FALDH,0.0
R_FAO141p_even,0.0
R_FAO141p_odd,0.0
R_FAO161p_even,0.0
R_FAO161p_odd,0.0
R_FAO181p_even,0.0
R_FAO181p_odd,0.0
R_FAO182p_eveneven,0.0
R_FAO182p_evenodd,0.0
R_FAO182p_oddodd,0.0
R_FAO240p,0.0
R_FAO80p,0.0
R_FAS100,0.0
R_FAS100ACPm,0.0
R_PGI,0.6567892789954326
R_FAS120,0.0
R_FAS120ACPm,0.0
R_PGK,-1.277877387856352
R_FAS140,0.0
R_FAS140ACPm,0.0
R_PGM,-1.26349198011615
R_FAS141ACPm,0.0
R_FAS160,0.0
R_FAS160ACPm,0.0
R_PYK,1.262096388911512
R_FAS161ACPm,0.0
R_FAS180,0.0
R_FAS180ACPm,0.0
R_TPI,0.63814003209647
R_FAS181ACPm,0.0
R_FAS182ACPm,0.0
R_FAS240_L,0.0
R_FAS260,0.0
R_FAS80ACPm_L,0.0
R_DOLPMMer,0.0025357492506470534
R_FAS80_L,0.0
R_DOLPMTcer,0.0025357492506470534
R_FBA2,0.0
R_FBA3,0.0
R_FBP,0.0
R_FBP26,0.0
R_FCLTm,0.0
R_FDH,0.0
R_FDNG,0.0
R_FKYNH,0.0
R_FMETTRSm,0.0
R_FMNAT,0.0
R_FMNATm,0.0
R_FOLD3m,0.0
R_FORt,-0.0013794019007141488
R_FORtm,0.0
R_FRUK,0.0
R_FRUt2,0.0
R_FTHFCL,0.0
R_FTHFCLm,0.0
R_AHSERL2,0.00024925587137794315
R_FTHFLm,0.0
R_HSERTA,0.00024925587137794315
R_FUMAC,0.0
R_FUMm,0.6453809449209325
R_FUMt2r,0.0
R_G12MT1g,0.0
R_G12MT2g,0.0
R_G13MTg,0.0
R_G16MTg,0.0
R_G3PD1irm,0.0
R_G3PDm,0.07322652413851995
R_RNDR1,4.170504591249519e-06
R_G5SADrm,0.0
R_G5SD,0.0
R_RNTR4,0.0
R_G6PDA,0.0
R_G6PDH2,0.0
R_UMPK,0.0014291305471585349
R_ATPS3m,4.243637337143881
R_G6PI2,0.0
R_CYOOm,1.9794286710050917
R_GALIGH,0.0
R_GALK,0.0
R_GALS3,0.0
R_GALT,0.0
R_GALU,0.010216795700486933
R_GALt2,0.0
R_GAM6Pt,0.0
R_CYOR_u6m,3.9588573420101834
R_GARFTi,0.003969412530816553
R_FUM,0.0067513686570910515
R_GAT2_SC,0.0
R_GBEZ,0.0
R_GCALDt,0.0
R_GCALDtm,0.0
R_MDH,0.6521323135780236
R_MDHm,0.0
R_GCC2cm,0.648513561853183
R_GCCam,0.0
R_GCCbim,0.0
R_GCCcm,0.0
R_GDPt3g,0.0
R_GDPtn,0.0
R_GF6PTA,0.00933701286873289
R_GGLGH,0.0
R_GHMT2r,0.007291949567194918
R_GHMT2rm,0.0031326169322504825
R_GK1,0.0
R_GK2,4.5765503346002485e-05
R_GLCP,0.0
R_NADH2_u6cm,1.4847454723806495
R_PPA,0.05082145661065684
R_GLCtv,0.0
R_G6PDH2er,0.0026496448230047213
R_GLNTRS,0.0
R_GLNt2n,0.0
R_GLNt2r,0.0
R_GND,0.0026496448230047213
R_GLUCYS,0.0
R_GLUDC,0.0
R_GLUDxi,0.0
R_PGL,0.0026496448230047213
R_PGMT,-0.010216795700486933
R_GLUN,0.0
R_GLUPRT,0.003969412530816553
R_GLUSx,0.0
R_GLUTRS,0.0
R_GLUTRSm,0.0
R_GLUt2m,-0.19591787987975895
R_GLUt2n,0.0
R_GLUt2r,0.0
R_GLXtp,0.0
R_GLYC3Ptm,0.07322652413851995
R_GLYCLm,0.0
R_GLYCt,0.0
R_GLYGS,0.0
R_GLYK,0.0
R_GLYOX,0.0
R_GLYOXm,0.0
R_GLYTRS,0.0
R_GLYt2m,0.0
R_GLYt2r,0.0
R_GMPS2,0.002182612605283906
R_RPE,-0.0032279778179278634
R_GNNUC,0.0
R_GRTT,0.0027588038014282976
R_GSNK,0.0
R_GSNt2,0.0
R_GSNt2m,0.0
R_GTHO,0.0
R_GTHOXti,0.0
R_GTHP,0.0
R_GTHS,0.0
